Word,Count
neu,2
entfacht,1
brand,1
dienstagnachmittag,2
ausgebrochen,2
circa,1
hektar,2
fläche,2
schadenshöhe,1
polizei,8
verletztenam,1
300,2
ausrufung,1
katastrophenfalls,1
diente,1
einfacher,1
koordinieren,1
feuerwehrleuten,1
organisatorische,1
arbeit,1
abzunehmen,1
lesen,1
bedeutet,2
ungeklärter,1
ursache,1
küpser,1
gemeindeteilen,1
burkersdorf,1
emmersheim,1
entlang,2
kreisstraße,1
22,1
personen,2
brandenburg,3
sachsen,2
weiterhin,4
kritischwegen,1
anhaltenden,1
osten,2
deutschlands,2
waldbränden,1
äußerst,1
kritisch,2
außer,1
kontrolle,1
brannte,1
wald-,1
wiesenfläche,1
"8,5",1
quadratkilometern,1
fußballfelder,1
groß,4
potsdamer,1
michael,1
stübgen,1
cdu,2
machte,1
bild,4
situation,2
beim,4
nationalpark,1
sächsische,1
schweiz,1
löste,1
katastrophenalarm,1
aus.bei,1
rehfeld,1
brandenburger,1
elbe-elster-kreis,1
unweit,1
sächsischen,1
stemmten,1
450,1
850,1
großes,2
bereiteten,1
einsatzkräften,1
windböen,1
60,2
kilometer,3
pro,4
löschhubschrauber,1
bundeswehr,3
feuerwehren,2
luft,4
tödlichen,1
gletscherunglück,1
marmolata,2
norditalien,1
könnte,4
höchsten,2
berg,1
dolomiten,1
erneuter,1
abbruch,1
drohen,1
hüttenwirt,1
schlug,1
alarm,1
nachdem,4
lautes,1
grollen,1
hörte,1
autonome,1
trient,1
gebiet,3
video,4
ungefähr,1
meter,3
25,2
breite,1
spalte,1
pausenlos,1
überwachen,1
alpengletscher,2
schlimmes,1
istgebiet,1
gletscherabbruch,2
gesperrtdas,1
unglück,1
3.,2
juli,7
elf,1
wanderer,1
gesperrt,1
damals,1
gletscher,3
nordseite,1
massiver,1
brocken,1
abgebrochen,1
geröll,2
geschwindigkeit,2
kilometern,2
tal,1
gestürzt,1
erwischte,1
alpinisten,1
normalen,1
weg,8
unterwegs,2
riss,1
handelt,2
sechs,5
männer,1
frauen,1
italien,2
tschechische,1
bergsteiger,1
acht,3
frau,1
mittlerweile,3
beide,1
krankenhaus,1
verlassen,1
konnten.einfluss,1
klimawandelsexperten,1
führten,2
