Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
;294;Starkregen ;intern;Dauerregen;;;;
;295;Starkregenfall;intern;;;;;
;296;Starkgewitter;intern;;Gewittersturm;;;
;297;Starkniederschlag;intern;intensiver Regen;Starkniederschläge;;;
;298;Sturmkatastrophe ;intern;Orkan;;;;
;299;Sturm Sabine;intern;;;;;
;300;Hagelsturm;intern;Hagelschauer;;;;
;301;Schneesturm;intern;;Schneestürme, Schneestürmen;;;
;302;Sandsturm;intern;Sandwirbel;;;;
;303;Strumschaden;intern;;Strumschäden;;;
;304;Sturmböe;intern;;Sturmböen;;;
;305;sturmbedingt;intern;durch den Sturm verursacht;;;;
;306;Sturmwarnung;intern;;;;;
;307;Sturmintensität;intern;;;;;
;;Sturmflutrisiko;intern;;;;;
;309;Sturmflutgefahr;intern;Sturmflutrisiko;Sturmflutgefahren;;;
;310;Sturmwahrscheinlichkeit;intern;;;;;
;311;Sturmflutereignis;intern;;Sturmflutereignisse;;;
2;312;Biologische;intern;;;;;
;313;Insektenplagen;intern;Insekteninvasion;;;;
;314;Schädlingsplagen ;intern;Heuschreckeneinfall;;;;
;315;Epidemie;intern;Krankheitswelle;Epidemien;;;
2;316;Extraterrestrische;intern;außerirdische Ereignisse;;;;
;317;Meteoriteneinschlag;intern;;Meteoriteneinschläge;;;
1;318;Naturkatastrophenursache;intern;;Naturkatastrophenursachen;;;
;319;Erdrutsch;intern;Bergrutsch;;;;
;320;Schwarmlawine;intern;Lawinenmassen;;;;
;321;Murgang;intern;Schlammstrom;Murgänge;;;
;322;Abholzung;intern;Entwaldung;;;;
;323;Erderwärmung;intern;globale Erwärmung;;;;
1;324;Katastrophenvorsorge und -planung;intern;;;;;
;325;Frühwarnsystem;intern;;;;;
;326;Wetterdienstbericht;intern;;Wetterdienstberichte;;;
;327;SMS-Warnsystem für Katastrophen;intern;;;;;
;328;Deiche für Küstenstädte;intern;;;;;
;329;Erdbebenfrühwarnung;intern;;;;;
;330;KI-Warnsysteme für Unwetterwarnung;intern;;;;;
;331;Luftrettungsstaffel;intern;;;;;
;332;Deutscher Flugbeobachtungsdienst Luftrettungsstaffel Bayern;intern;;;;;
;333;intakte Wälder;intern;;;;;
;334;Natürliche Auen;intern;;;;;
;335;Evakuierung;intern;;;;;
;336;Evakuierungstreffpunkt finden;intern;;;;;
;337;Evakuierungszentrum;intern;;;;;
;338;Evakuierungszone;intern;;;;;
;339;Evakuierungsaufforderung;intern;Evakuierungsbefehle;Evakuierungsaufforderungen;;;
;340;Katastrophennotfallplan;intern;;;;;
;341;Evakuierungsplan;intern;;Evakuierungspläne;;;
;342;Katastrophenschutzübung;intern;;Katastrophenschutzübungen;;;
;343;Trainingsprogramm für Bevölkerung;intern;;Trainingsprogramme für Bevölkerung;;;
;344;Brandschutz;intern;;;;;
;345;vorbeugender Brandschutz;intern;;;;;
;346;Katastrophenmanagement;intern;;;;;
;347;Katastrophenschutz;intern;;;;;
;348;Katastrophenschutzgesetz;intern;;Katastrophenschutzgesetze;;;
;349;Katastrophenschutzbehörde;intern;;Katastrophenschutzbehörden;;;
;;Bundesamt für Bevölkerungsschutz und Katastrophenhilfe (BBK);intern;;;;;
;374;Schadensbegrenzung;intern;;;;;
;375;Hilfsmaßnahme &  Schadenvorsorge;intern;;Hilfsmaßnahmen &  Schadenvorsorge;;;
;376;Wiederaufbau nach Naturkatastrophe;intern;;;;;
;377;Sach- und Wohngebäudeversicherung gegen Naturkatastrophen;intern;;;;;
;351;EU-Katastrophenschutzverfahren;intern;;;;;
;352;Versicherungsschutz;intern;;;;;
;353;Haftversicherungspflicht;intern;;;;;
1;354;Rettung und Soforthilfe;intern;;;;;
;355;Rettungseinsatz ;intern;Rettungsarbeiten;Rettungseinsätze;;;
;356;Hilfstransport (Katastrophenhilfe);intern;;;;;
;357;Deutsche GeoForschungsZentrum;intern;;;;;
;358;RKT (Regensburger Krankentransport);intern;;;;;
;359;Retungsorganisation Weißhelme;intern;;;;;
;360;Türkischer Roter Halbmond ;intern;;;;;
;361;Notfallvorsorge;intern;;;;;
;362;Opferhilfe;intern;;;;;
;363;schnelle Visavergabe;intern;;;;;
;364;Versorgung von Überlebenden und Verletzten;intern;;Flüchtlichgsorganisationen;;;
;366;medizinische Versorgung für Natirkatastrophenopfer;intern;;;;;
;367;Verpflegung, Strom- und Trinkwasserversorgung;intern;;;;;
;368;Nothilfe nach Naturkatastrophe;intern;;Nothilfe nach Naturkatastrophe;;;
;369;Ausnahmezustand;intern;Notlage, Notstand ;;;;
;370;Notunterkunft für Betroffenen;intern;Not_quar_tier;Notunterkünfte für Betroffenen;;;
